Date,eq
2019-03-05,1.0455076629327222
2019-03-06,1.0373263110399167
2019-03-07,1.027913288265581
2019-03-08,1.0312508445346116
2019-03-11,1.0514338112701633
2019-03-12,1.064088368537105
2019-03-13,1.0755964353280474
2019-03-14,1.0674835170068013
2019-03-15,1.0829101539360706
2019-03-18,1.086461100463626
2019-03-19,1.0876200941793481
2019-03-20,1.0901254887607437
2019-03-21,1.1130294527511093
2019-03-22,1.0989295149366964
2019-03-25,1.1036446594127325
2019-03-26,1.1133447748013277
2019-03-27,1.1049102822295824
2019-03-28,1.1030225642814766
2019-03-29,1.1172772090256526
2019-04-01,1.116351761739395
2019-04-02,1.1161582967347217
2019-04-03,1.1150525018281168
2019-04-04,1.1177666942430249
2019-04-05,1.1290804195827482
2019-04-08,1.1308929521782773
2019-04-09,1.1282518644824706
2019-04-10,1.1346943362972275
2019-04-11,1.1255221896834988
2019-04-12,1.1268454994817987
2019-04-15,1.1312582542711183
2019-04-16,1.1166616133655947
2019-04-17,1.1085219521264773
2019-04-18,1.11269006306141
2019-04-22,1.110302639883167
2019-04-23,1.124406891713353
2019-04-24,1.1317329068309037
2019-04-25,1.1324059886789077
2019-04-26,1.1454286457808114
2019-04-29,1.1375193915586717
2019-04-30,1.1529645859157955
2019-05-01,1.136927007456599
2019-05-02,1.1325281432946237
2019-05-03,1.1515752759622517
2019-05-06,1.1469951059939736
2019-05-07,1.1247608020411826
2019-05-08,1.1174212181711474
2019-05-09,1.1136596494505755
2019-05-10,1.1267816133110358
2019-05-13,1.1015759483769036
2019-05-14,1.1105540378903953
2019-05-15,1.1224476056472648
2019-05-16,1.133686296304168
2019-05-17,1.1257399495915044
2019-05-20,1.1151001712401452
2019-05-21,1.1241185953355641
2019-05-22,1.1266405032483056
2019-05-23,1.1242311703171282
2019-05-24,1.12408414474618
2019-05-28,1.1040739569162885
2019-05-29,1.088704088510047
2019-05-30,1.1018001906912172
2019-05-31,1.0941986050900576
2019-06-03,1.1014657578497986
2019-06-04,1.1292456816258947
2019-06-05,1.1499525631196315
2019-06-06,1.1670948140006698
2019-06-07,1.190334520255187
2019-06-10,1.1885803013059566
2019-06-11,1.1880228679966116
2019-06-12,1.1956352319292627
2019-06-13,1.205317034527778
2019-06-14,1.2069703749895844
2019-06-17,1.2073366214974164
2019-06-18,1.2212216874396171
2019-06-19,1.234817387340441
2019-06-20,1.263139368476901
2019-06-21,1.2595528073410833
2019-06-24,1.2663898503839401
2019-06-25,1.2521248100843059
2019-06-26,1.2310711888991306
2019-06-27,1.2412850698545639
2019-06-28,1.245864993694594
2019-07-01,1.2505283940635643
2019-07-02,1.276107578552344
2019-07-03,1.2985785241982686
2019-07-05,1.2825152632545231
2019-07-08,1.2755278409368966
2019-07-09,1.2771790705160286
2019-07-10,1.2915369187842367
2019-07-11,1.2858585130648927
2019-07-12,1.2906405635628369
2019-07-15,1.2994755403190346
2019-07-16,1.2853183855747512
2019-07-17,1.292902335385452
2019-07-18,1.3106397418717126
2019-07-19,1.2846886530273987
2019-07-22,1.2862073688109668
2019-07-23,1.2896754262197898
2019-07-24,1.2970820950522344
2019-07-25,1.2850540430356316
2019-07-26,1.2974818976070588
2019-07-29,1.302836828403676
2019-07-30,1.2956229614550545
2019-07-31,1.2668004233573265
2019-08-01,1.2807395553549412
2019-08-02,1.2715018314011306
2019-08-05,1.2285432943915773
2019-08-06,1.2621940626327532
2019-08-07,1.2790585185974548
2019-08-08,1.3162695290815325
2019-08-09,1.3033520090852657
2019-08-12,1.2964852048801256
2019-08-13,1.3211006725242946
2019-08-14,1.2837932054172772
2019-08-15,1.303256056800835
2019-08-16,1.3225862055962128
2019-08-19,1.3347056805172057
2019-08-20,1.3311991300767023
2019-08-21,1.3479047675305045
2019-08-22,1.3433227155689749
2019-08-23,1.3100722969993523
2019-08-26,1.3336682986469037
2019-08-27,1.33870099202647
2019-08-28,1.3502129157959717
2019-08-29,1.3665090216146176
2019-08-30,1.3626135842004106
2019-09-03,1.370028486542265
2019-09-04,1.3906156533199872
2019-09-05,1.3862396621257271
2019-09-06,1.3871592084760989
2019-09-09,1.3678248477711477
2019-09-10,1.3507682784542465
2019-09-11,1.3686889674001803
2019-09-12,1.37391215446808
2019-09-13,1.3501898622787245
2019-09-16,1.347728050695648
2019-09-17,1.3625714835268348
2019-09-18,1.3638854953710566
2019-09-19,1.3709693511418937
2019-09-20,1.374639373995459
2019-09-23,1.3794779872122993
2019-09-24,1.3810534665498688
2019-09-25,1.3731405398320649
2019-09-26,1.376814323526671
2019-09-27,1.3635321600295691
2019-09-30,1.372767344968763
2019-10-01,1.3617293601476417
2019-10-02,1.3295721378210048
2019-10-03,1.351226420172359
2019-10-04,1.3865328347860464
2019-10-07,1.367598313373966
2019-10-08,1.3422894738759454
2019-10-09,1.3593549967369838
2019-10-10,1.3573303967617336
2019-10-11,1.3620962260140208
2019-10-14,1.3612439083790009
2019-10-15,1.3663879438303517
2019-10-16,1.3690303815853395
2019-10-17,1.3754291528798028
2019-10-18,1.3702831296653446
2019-10-21,1.3738740389537465
2019-10-22,1.3717917260519947
2019-10-23,1.3782987938966025
2019-10-24,1.3878269027399102
2019-10-25,1.3846735042017844
2019-10-28,1.3812152510211249
2019-10-29,1.3803184177371914
2019-10-30,1.4039119971899365
2019-10-31,1.4133423800944984
2019-11-01,1.4203056535523675
2019-11-04,1.4032215252460027
2019-11-05,1.3838499649172495
2019-11-06,1.394023536567613
2019-11-07,1.3723176628246494
2019-11-08,1.3712485669492025
2019-11-11,1.3642536412593493
2019-11-12,1.3740382955582657
2019-11-13,1.3890674284327236
2019-11-14,1.3986769281558646
2019-11-15,1.4130571406393198
2019-11-18,1.420067888106328
2019-11-19,1.4212495165660097
2019-11-20,1.4256261992428503
2019-11-21,1.4120223736853321
2019-11-22,1.415328065144273
2019-11-25,1.4298471322230983
2019-11-26,1.443600845248168
2019-11-27,1.4508315954329962
2019-11-29,1.4458136756198827
2019-12-02,1.4239882395304864
2019-12-03,1.4288707182677605
2019-12-04,1.439162098214153
2019-12-05,1.4389697179026741
2019-12-06,1.4441764138913338
2019-12-09,1.4383883398750703
2019-12-10,1.4386790775945049
2019-12-11,1.4525135024651588
2019-12-12,1.4541882473722114
2019-12-13,1.4706469659870076
2019-12-16,1.485745081649664
2019-12-17,1.4861882361288175
2019-12-18,1.484355356107576
2019-12-19,1.4962046573620789
2019-12-20,1.5116284874973749
2019-12-23,1.5077663285233327
2019-12-24,1.5158345055547073
2019-12-26,1.531841167851933
2019-12-27,1.5359333678663096
2019-12-30,1.5229599865505798
2019-12-31,1.5242449487331198
2020-01-02,1.5556811662760766
2020-01-03,1.551543664393252
2020-01-06,1.5684557937533603
2020-01-07,1.5605851943244742
2020-01-08,1.57078735533273
2020-01-09,1.5920375608327244
2020-01-10,1.5910664296469803
2020-01-13,1.6078904647285126
2020-01-14,1.6110506223376584
2020-01-15,1.636445122103187
2020-01-16,1.6632595180863312
2020-01-17,1.6743100031742115
2020-01-21,1.6796890608429873
2020-01-22,1.6830990895327198
2020-01-23,1.6970574676039702
2020-01-24,1.6729712997396378
2020-01-27,1.637072613926958
2020-01-28,1.6589742348066943
2020-01-29,1.667565732594182
2020-01-30,1.6741470979357445
2020-01-31,1.6265600590306264
2020-02-03,1.6463741416351925
2020-02-04,1.6796633687098905
2020-02-05,1.708031600409463
2020-02-06,1.7280304212457707
2020-02-07,1.7186360885495675
2020-02-10,1.7500307630744487
2020-02-11,1.7526024082165104
2020-02-12,1.7752810293604748
2020-02-13,1.7822602026102836
2020-02-14,1.7946659852610791
2020-02-18,1.8053747695837006
2020-02-19,1.816687908827318
2020-02-20,1.8093432654550714
2020-02-21,1.7892126504691683
2020-02-24,1.6817192615516274
2020-02-25,1.5649067430305117
2020-02-26,1.5493164695364559
2020-02-27,1.4048130255570954
2020-02-28,1.3606347268604835
2020-03-02,1.5053784122822305
2020-03-03,1.4433563274170107
2020-03-04,1.59214056128895
2020-03-05,1.5043295153573715
2020-03-06,1.4883887335704504
2020-03-09,1.2804415879514426
2020-03-10,1.3762737902164608
2020-03-11,1.201157914816947
2020-03-12,0.9210867377210805
2020-03-13,1.0754568627363221
2020-03-16,0.8180640474304833
2020-03-17,0.931979703724044
2020-03-18,0.8136320265750768
2020-03-19,0.8009305647537177
2020-03-20,0.7308802155123477
2020-03-23,0.708129100363603
2020-03-24,0.8614303784938919
2020-03-25,0.8824892937468182
2020-03-26,1.0140629778907504
2020-03-27,0.95948736671423
