Date,scaler,sigma,target
2018-12-07,0.6988163503079329,0.14309911317320365,0.1
2018-12-10,0.7099807667268749,0.14084888589449546,0.1
2018-12-11,0.7213378561761226,0.13863129342761668,0.1
2018-12-12,0.7300960175734391,0.13696828580487522,0.1
2018-12-13,0.7415336011605478,0.13485565568909294,0.1
2018-12-14,0.7259588584139496,0.137748852901219,0.1
2018-12-17,0.7009206420830677,0.1426695035015801,0.1
2018-12-18,0.7118917353191843,0.1404707977894475,0.1
2018-12-19,0.7053729504142433,0.14176897475480618,0.1
2018-12-20,0.696073513985016,0.1436629867260725,0.1
2018-12-21,0.6796010229659486,0.14714515814525267,0.1
2018-12-24,0.6354887476165715,0.1573591985303507,0.1
2018-12-26,0.536423082780253,0.1864200166064913,0.1
2018-12-27,0.5404652108329417,0.18502578518584814,0.1
