CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.0976,0.1576,0.4926,-0.303,0.5236,63,0.12,0.25,0.004,0.1,0.5402
0.0974,0.1576,0.4915,-0.303,0.5236,63,0.12,0.25,0.004,0.2,0.6093
0.0974,0.1576,0.4914,-0.303,0.5236,63,0.12,0.25,0.004,0.3,0.6251
0.0973,0.1576,0.4908,-0.303,0.5231,63,0.12,0.33,0.001,0.1,0.6315
0.0969,0.1576,0.4882,-0.303,0.5231,63,0.12,0.33,0.001,0.2,0.7813
0.0969,0.1576,0.4879,-0.303,0.5231,63,0.12,0.33,0.001,0.3,0.8157
0.0973,0.1576,0.4908,-0.303,0.5231,63,0.12,0.33,0.002,0.1,0.6309
0.0969,0.1576,0.4883,-0.303,0.5231,63,0.12,0.33,0.002,0.2,0.7807
0.0969,0.1576,0.488,-0.303,0.5231,63,0.12,0.33,0.002,0.3,0.8151
0.0974,0.1576,0.4911,-0.303,0.5231,63,0.12,0.33,0.004,0.1,0.6275
0.097,0.1576,0.4885,-0.303,0.5231,63,0.12,0.33,0.004,0.2,0.7773
0.0969,0.1576,0.4882,-0.303,0.5231,63,0.12,0.33,0.004,0.3,0.8117
0.0971,0.1576,0.4894,-0.303,0.5231,63,0.12,0.5,0.001,0.1,0.711
0.0962,0.1576,0.4837,-0.303,0.5231,63,0.12,0.5,0.001,0.2,1.0866
0.096,0.1576,0.4824,-0.303,0.5231,63,0.12,0.5,0.001,0.3,1.1826
0.0971,0.1576,0.4895,-0.303,0.5231,63,0.12,0.5,0.002,0.1,0.71
0.0962,0.1576,0.4838,-0.303,0.5231,63,0.12,0.5,0.002,0.2,1.0856
0.096,0.1576,0.4825,-0.303,0.5231,63,0.12,0.5,0.002,0.3,1.1816
0.0972,0.1576,0.4898,-0.303,0.5231,63,0.12,0.5,0.004,0.1,0.7049
0.0963,0.1576,0.4841,-0.303,0.5231,63,0.12,0.5,0.004,0.2,1.0805
0.0961,0.1576,0.4828,-0.303,0.5231,63,0.12,0.5,0.004,0.3,1.1765
0.0974,0.1575,0.4913,-0.303,0.5231,84,0.08,0.25,0.001,0.1,0.562
0.0972,0.1575,0.4898,-0.303,0.5231,84,0.08,0.25,0.001,0.2,0.6406
0.0971,0.1575,0.4897,-0.303,0.5231,84,0.08,0.25,0.001,0.3,0.6546
0.0974,0.1575,0.4914,-0.303,0.5231,84,0.08,0.25,0.002,0.1,0.5614
0.0972,0.1575,0.4899,-0.303,0.5231,84,0.08,0.25,0.002,0.2,0.64
0.0972,0.1575,0.4897,-0.303,0.5231,84,0.08,0.25,0.002,0.3,0.654
0.0974,0.1575,0.4915,-0.303,0.5231,84,0.08,0.25,0.004,0.1,0.5599
0.0972,0.1575,0.49,-0.303,0.5231,84,0.08,0.25,0.004,0.2,0.6385
0.0972,0.1575,0.4898,-0.303,0.5231,84,0.08,0.25,0.004,0.3,0.6525
0.0972,0.1575,0.4902,-0.303,0.5231,84,0.08,0.33,0.001,0.1,0.6288
0.0966,0.1576,0.4864,-0.303,0.5231,84,0.08,0.33,0.001,0.2,0.8367
0.0966,0.1576,0.4863,-0.303,0.5231,84,0.08,0.33,0.001,0.3,0.8507
0.0972,0.1575,0.4903,-0.303,0.5231,84,0.08,0.33,0.002,0.1,0.628
0.0967,0.1576,0.4865,-0.303,0.5231,84,0.08,0.33,0.002,0.2,0.8359
0.0966,0.1576,0.4864,-0.303,0.5231,84,0.08,0.33,0.002,0.3,0.8499
0.0973,0.1575,0.4904,-0.303,0.5231,84,0.08,0.33,0.004,0.1,0.626
0.0967,0.1576,0.4866,-0.303,0.5231,84,0.08,0.33,0.004,0.2,0.8339
0.0966,0.1576,0.4865,-0.303,0.5231,84,0.08,0.33,0.004,0.3,0.8479
0.097,0.1575,0.4889,-0.303,0.5231,84,0.08,0.5,0.001,0.1,0.7202
0.096,0.1576,0.4823,-0.303,0.5231,84,0.08,0.5,0.001,0.2,1.124
0.0957,0.1576,0.4802,-0.303,0.5231,84,0.08,0.5,0.001,0.3,1.2672
0.097,0.1575,0.489,-0.303,0.5231,84,0.08,0.5,0.002,0.1,0.719
0.096,0.1576,0.4824,-0.303,0.5231,84,0.08,0.5,0.002,0.2,1.1228
0.0957,0.1576,0.4803,-0.303,0.5231,84,0.08,0.5,0.002,0.3,1.2661
0.0971,0.1575,0.4891,-0.303,0.5231,84,0.08,0.5,0.004,0.1,0.716
