Date,ret_ivol
2019-01-30,0.009305660360477227
2019-01-31,0.008192016783780483
2019-02-01,-0.0013006420147597553
2019-02-04,0.0016516028669738476
2019-02-05,0.0036977686442754678
2019-02-06,-0.003050706403806776
2019-02-07,-0.002958316302326671
2019-02-08,0.0021258165389415953
2019-02-11,-0.0011062088655106775
2019-02-12,0.007849343785577875
2019-02-13,0.0004174033816848724
2019-02-14,-0.0002694515835380941
2019-02-15,0.008358747370401987
2019-02-19,0.004763792552851323
2019-02-20,0.0012660437616595758
2019-02-21,-0.0055964185603048465
2019-02-22,0.0044906820361038805
2019-02-25,-0.0006403437149151173
2019-02-26,5.419029559426808e-05
2019-02-27,-0.003405281625766358
2019-02-28,-0.003021344182182696
2019-03-01,-0.000523473157947807
2019-03-04,-0.000800733541260862
2019-03-05,-0.0005334611667025695
