,ret
2024-05-21,0.002033773724888978
2024-05-22,-0.006042479763087354
2024-05-23,-0.01219282545601077
2024-05-24,0.005399322505955121
2024-05-28,-0.003249767788002651
2024-05-29,-0.010210356472340998
2024-05-30,0.0025239032977113192
2024-05-31,0.010655452733016706
2024-06-03,-0.002096040662942964
2024-06-04,-0.0006577138463838951
2024-06-05,0.006242647636231249
2024-06-06,0.0004505587333981817
2024-06-07,-0.007226583879839313
2024-06-10,0.002615240128508257
2024-06-11,-3.0067448928624576e-06
2024-06-12,0.0016433616416011315
2024-06-13,-0.0006847477166503751
2024-06-14,-0.0009480250666444145
2024-06-17,0.0040651867688519866
2024-06-18,0.0018364041408884882
2024-06-20,0.0028617542216297057
2024-06-21,-0.00142855674105517
2024-06-24,0.004787163727850639
2024-06-25,-0.0020093043378741457
2024-06-26,-0.0033606195578538296
2024-06-27,0.0018189734288819935
2024-06-28,-0.004338218762424274
2024-07-01,-0.0043198666550776565
2024-07-02,0.005569323752611412
2024-07-03,0.004395321307988149
2024-07-05,0.004610746061294078
2024-07-08,-0.0015905786594735977
2024-07-09,-0.0007125996966890962
2024-07-10,0.007536408265447036
2024-07-11,0.0034460692816952443
2024-07-12,0.005056064607698314
2024-07-15,-0.0003489321005498262
2024-07-16,0.011848805896589624
2024-07-17,-0.004615541438596745
2024-07-18,-0.006849126049466563
2024-07-19,-0.007195812121142057
2024-07-22,0.005250976715907035
2024-07-23,-0.002590007270408999
2024-07-24,-0.012737266792093018
2024-07-25,-0.001431625038454465
2024-07-26,0.011488055323306698
2024-07-29,0.001638473706927275
2024-07-30,0.00102119732466905
2024-07-31,0.010488392532674634
2024-08-01,-0.006606250742286429
2024-08-02,-0.011304163806476098
2024-08-05,-0.021846667699553433
2024-08-06,0.005378873492726745
2024-08-07,-0.005357912787683617
2024-08-08,0.01634312324166105
2024-08-09,0.003623293783420456
2024-08-12,2.398528818997397e-05
2024-08-13,0.00957111488953463
2024-08-14,0.0017653409292239784
2024-08-15,0.010901763572303535
2024-08-16,0.0038574283574743413
2024-08-19,0.006768249767897157
2024-08-20,-0.0019566508272933886
2024-08-21,0.004520380351162088
2024-08-22,-0.005642945411178354
2024-08-23,0.009700300489268072
2024-08-26,0.0008486070983730403
2024-08-27,-0.0005161259979377963
2024-08-28,-0.004259550220907518
2024-08-29,0.002343201799117038
2024-08-30,0.005984020679939246
2024-09-03,-0.011697198074985664
2024-09-04,0.00011829674281674623
