train_start,train_end,window,vt_target,exec_speed,no_trade_band,turnover_cap,score,Sharpe,AnnTurn
2019-02-12,2024-02-12,63,0.08,0.33,0.002,0.2,-0.25674270053495357,0.39339146078716997,1.300268322644247
2019-02-12,2024-02-12,63,0.08,0.33,0.004,0.1,-0.08425764784136702,0.3990111238140986,0.9665375433109312
2019-02-12,2024-02-12,63,0.08,0.33,0.004,0.2,-0.25674270053495357,0.39339146078716997,1.300268322644247
2019-02-12,2024-02-12,63,0.08,0.5,0.001,0.1,-0.1405023774191002,0.3975886207291527,1.0761819962965058
2019-02-12,2024-02-12,63,0.08,0.5,0.001,0.2,-0.48481271023965616,0.3876021432760222,1.7448297070313568
2019-02-12,2024-02-12,63,0.08,0.5,0.002,0.1,-0.1405023774191002,0.3975886207291527,1.0761819962965058
2019-02-12,2024-02-12,63,0.08,0.5,0.002,0.2,-0.48481271023965616,0.3876021432760222,1.7448297070313568
2019-02-12,2024-02-12,63,0.08,0.5,0.004,0.1,-0.1405023774191002,0.3975886207291527,1.0761819962965058
2019-02-12,2024-02-12,63,0.08,0.5,0.004,0.2,-0.48481271023965616,0.3876021432760222,1.7448297070313568
2019-02-12,2024-02-12,63,0.1,0.25,0.001,0.1,0.04949597111260734,0.4037517866945941,0.7085116311639735
2019-02-12,2024-02-12,63,0.1,0.25,0.001,0.2,-0.009806748715119162,0.40190923329342143,0.8234319640170812
2019-02-12,2024-02-12,63,0.1,0.25,0.002,0.1,0.04949597111260734,0.4037517866945941,0.7085116311639735
2019-02-12,2024-02-12,63,0.1,0.25,0.002,0.2,-0.009806748715119162,0.40190923329342143,0.8234319640170812
2019-02-12,2024-02-12,63,0.1,0.25,0.004,0.1,0.05487112868959898,0.40436754739905867,0.6989928374189194
2019-02-12,2024-02-12,63,0.1,0.25,0.004,0.2,-0.004431805357105523,0.40252477977890794,0.8139131702720269
2019-02-12,2024-02-12,63,0.1,0.33,0.001,0.1,0.01425395721502054,0.40246227914626714,0.7764166438624932
2019-02-12,2024-02-12,63,0.1,0.33,0.001,0.2,-0.13912251329161573,0.3977125247759127,1.0736700761350568
2019-02-12,2024-02-12,63,0.1,0.33,0.002,0.1,0.01425395721502054,0.40246227914626714,0.7764166438624932
2019-02-12,2024-02-12,63,0.1,0.33,0.002,0.2,-0.13912251329161573,0.3977125247759127,1.0736700761350568
2019-02-12,2024-02-12,63,0.1,0.33,0.004,0.1,0.021245769488403954,0.4031716875479149,0.7638518361190219
2019-02-12,2024-02-12,63,0.1,0.33,0.004,0.2,-0.13213133515783054,0.39842129903796225,1.0611052683915856
2019-02-12,2024-02-12,63,0.1,0.5,0.001,0.1,-0.034433175674623784,0.4008162791812038,0.8704989097116552
2019-02-12,2024-02-12,63,0.1,0.5,0.001,0.2,-0.3159683830305132,0.3925432481334603,1.417023262327947
2019-02-12,2024-02-12,63,0.1,0.5,0.002,0.1,-0.034433175674623784,0.4008162791812038,0.8704989097116552
