Date,scaler,sigma
2022-01-24,0.9308027821600608,0.10743414385583992
2022-01-25,0.9349086968366581,0.10696231657525315
2022-01-26,0.9344661732041175,0.10701296940168296
2022-01-27,0.9492322877198531,0.10534829176555886
2022-01-28,0.9095170991160781,0.10994845517163541
2022-01-31,0.877696463023114,0.11393460520002861
2022-02-01,0.8797021338441946,0.11367484078163116
2022-02-02,0.8784148432942134,0.11384142784402647
2022-02-03,0.8258217677703412,0.12109150412684415
2022-02-04,0.8390330596774698,0.11918481500412
2022-02-07,0.8523566944002003,0.11732177462437784
2022-02-08,0.8611153509872643,0.1161284604732113
2022-02-09,0.8454282112754161,0.1182832541738105
2022-02-10,0.8146134034437204,0.12275761677534043
2022-02-11,0.818428028164972,0.12218545377070449
2022-02-14,0.8240362528195417,0.12135388419846538
2022-02-15,0.8259263993674661,0.12107616377995034
2022-02-16,0.8367800565014414,0.11950571625487558
2022-02-17,0.8234336250679191,0.12144269672221818
2022-02-18,0.8344247366121498,0.11984304349126836
2022-02-22,0.8320015014625585,0.12019209078855272
2022-02-23,0.8093421135348873,0.12355714391685295
2022-02-24,0.8163272189567983,0.12249989670538257
2022-02-25,0.7416656218929377,0.134831650609303
2022-02-28,0.7526662165364361,0.13286101834113484
2022-03-01,0.7525934862902136,0.1328738579613991
2022-03-02,0.7439965313226918,0.13440922879333592
2022-03-03,0.7558654516761222,0.1322986779965287
2022-03-04,0.7675302879263151,0.13028801804053403
2022-03-07,0.7258500556636573,0.13776950104187602
2022-03-08,0.7343799421866334,0.13616929637572572
2022-03-09,0.7266827041568017,0.13761164181832827
2022-03-10,0.7381980082510584,0.1354650092282427
2022-03-11,0.7363052705027568,0.13581323400241177
2022-03-14,0.7391414625538179,0.13529209909898524
2022-03-15,0.7333571529825144,0.1363592072338924
2022-03-16,0.7134350674950232,0.14016692556354834
2022-03-17,0.7064050547202857,0.14156184094633478
2022-03-18,0.71299690527746,0.14025306317575867
2022-03-21,0.7240004566031623,0.13812145985263075
2022-03-22,0.7310127863850328,0.1367965128141122
2022-03-23,0.7404967508449962,0.13504448181020096
2022-03-24,0.7371700728042478,0.1356539063225842
2022-03-25,0.7445067433333068,0.13431711787092732
2022-03-28,0.7560063991689662,0.13227401264053346
2022-03-29,0.7547178166461805,0.13249985331521733
2022-03-30,0.7667181111341352,0.1304260308290869
2022-03-31,0.7590117030171419,0.13175027420854082
2022-04-01,0.7688084852881608,0.13007140518554308
2022-04-04,0.7787936476465409,0.12840371811222767
2022-04-05,0.7723288514856391,0.12947852434573906
2022-04-06,0.782077425381223,0.1278645780515338
2022-04-07,0.79188694629257,0.12628065214128947
2022-04-08,0.8040591697442763,0.12436895661771273
2022-04-11,0.7865424374574087,0.12713872162227102
2022-04-12,0.7990824375496093,0.1251435337593585
2022-04-13,0.7950958301344059,0.12577100295331148
2022-04-14,0.7948915877380635,0.12580331902185446
2022-04-18,0.8075456305534565,0.12383201173593666
2022-04-19,0.8033737930165417,0.12447505864551021
2022-04-20,0.8150122778138007,0.1226975380889246
2022-04-21,0.7878282732297077,0.12693121508580707
2022-04-22,0.7120294471901363,0.140443629676592
2022-04-25,0.7234213578717769,0.13823202606871962
2022-04-26,0.6910245024274809,0.14471266886877782
2022-04-27,0.7020812486817986,0.1424336573405945
2022-04-28,0.6713932427369607,0.14894400722942358
2022-04-29,0.6048032850496988,0.1653430172618567
2022-04-30,0.6144807520915534,0.1627390274790913
2022-05-02,0.624300721022043,0.16017921593345263
2022-05-03,0.6305742097968736,0.15858561680188749
2022-05-04,0.5803500578471761,0.17230979586863945
2022-05-05,0.5393292801666585,0.18541548489468057
2022-05-06,0.5469354237765359,0.18283694135133857
2022-05-09,0.5168631289672875,0.19347481837174935
2022-05-10,0.5250860328151143,0.19044498187063863
2022-05-11,0.5317909850424725,0.188043804450753
2022-05-12,0.5402129087815358,0.18511219997602907
2022-05-13,0.5341754648976969,0.18720440486564016
2022-05-16,0.5427216589722681,0.18425651224122197
2022-05-17,0.5398813164697513,0.185225894931674
2022-05-18,0.5029005520553177,0.19884647092015975
2022-05-19,0.5107385050475107,0.19579491072578845
2022-05-20,0.518893086801354,0.19271792695569798
2022-05-23,0.5164703891724981,0.1936219425090808
2022-05-24,0.5246831282082012,0.19059122472929735
2022-05-25,0.5299248016496084,0.18870601958751312
2022-05-26,0.5252354479884627,0.19039080546253725
2022-05-27,0.5156732084841005,0.19392126322398087
2022-05-31,0.5192387604624162,0.19258962853802253
2022-06-01,0.5258737090863228,0.19015972518144064
2022-06-02,0.5216214019407732,0.19170992529818467
2022-06-03,0.5234004650728353,0.19105829412299855
2022-06-06,0.5317228945962146,0.18806788463742768
2022-06-07,0.5345304831389082,0.18708006962067503
2022-06-08,0.5365076878815658,0.18639061892077685
2022-06-09,0.5238496909945222,0.19089445258648763
2022-06-10,0.5104540590216484,0.19590401571428978
2022-06-13,0.5,0.21887961370597853
2022-06-14,0.5,0.2162972736213063
2022-06-15,0.5,0.21474894069063438
2022-06-16,0.5,0.22230329948347302
2022-06-17,0.5,0.21899118859206937
2022-06-21,0.5,0.2213171361536208
2022-06-22,0.5,0.21783678241108448
2022-06-23,0.5,0.21476467241150407
2022-06-24,0.5,0.22075972160636986
2022-06-27,0.5,0.2173034294065387
2022-06-28,0.5,0.2162037537347893
2022-06-29,0.5,0.21283211810670294
2022-06-30,0.5,0.21002110305046176
2022-07-01,0.5,0.20909932030901784
2022-07-05,0.5,0.20664078223519702
2022-07-06,0.5,0.20341749198040462
2022-07-07,0.5,0.20238338267380881
2022-07-08,0.5016173471445086,0.1993551470443694
2022-07-11,0.5072159714860126,0.19715467497410555
2022-07-12,0.5136031580180318,0.19470285265747755
2022-07-13,0.5216074624194389,0.19171504858492083
2022-07-14,0.526667007513577,0.18987329483976098
2022-07-15,0.5230763757102029,0.19117667064245786
2022-07-18,0.5303289366394144,0.18856221693969685
2022-07-19,0.5136909448334559,0.19466957906455035
2022-07-20,0.5214867775527086,0.19175941616255582
2022-07-21,0.5257600805665282,0.19020082295378124
2022-07-22,0.533476855041571,0.18744955672389485
2022-07-25,0.541233321075306,0.18476319935609845
2022-07-26,0.5459551097347276,0.1831652423742104
2022-07-27,0.5361916468552911,0.1865004809129156
2022-07-28,0.5349542621529395,0.1869318688994962
2022-07-29,0.5350418361056366,0.18690127248340332
2022-07-31,0.5436030490866477,0.1839577613996431
2022-08-01,0.5522947950973697,0.1810627239070214
2022-08-02,0.5571765013179661,0.17947634145276456
2022-08-03,0.5598854786634029,0.17860795432438592
2022-08-04,0.5687330021745329,0.1758294307129235
2022-08-05,0.5768644190975528,0.17335095854315316
2022-08-08,0.5851994784024674,0.1708819021387193
2022-08-09,0.5944182315345098,0.16823171749265964
2022-08-10,0.5863264258752884,0.17055345893836618
2022-08-11,0.5956572043725668,0.16788179386722038
2022-08-12,0.587622973519944,0.17017714505099416
2022-08-15,0.5969815691864179,0.16750935901803907
2022-08-16,0.6055946858649399,0.165126944364076
2022-08-17,0.610921128751905,0.16368725076557306
2022-08-18,0.6197057588954417,0.16136690447776242
2022-08-19,0.618332696057553,0.16172523406508044
2022-08-22,0.6053556091898105,0.16519215892595257
2022-08-23,0.614968681289412,0.1626099068822966
2022-08-24,0.623968014175344,0.16026462531442928
2022-08-25,0.6192733224146179,0.16147958644510715
2022-08-26,0.5787495864589599,0.1727863005688578
2022-08-29,0.5869616519524061,0.17036888128444297
2022-08-30,0.5858677295569461,0.17068699120127942
2022-08-31,0.5905485059088298,0.16933410041585684
2022-09-01,0.5999364766441723,0.16668431391163918
2022-09-02,0.606941740175376,0.16476045949831192
2022-09-06,0.6137252733428096,0.1629393546974606
2022-09-07,0.5960248061169747,0.1677782518004363
2022-09-08,0.6045199410444274,0.16542051504079466
2022-09-09,0.5991057165418489,0.1669154495423927
2022-09-12,0.6035988416194507,0.1656729488275704
2022-09-13,0.5332256622902541,0.18753786074453102
2022-09-14,0.5411861778446069,0.1847792942500343
2022-09-15,0.5429050884011186,0.18419425814280868
2022-09-16,0.5473385480693462,0.18270227878656609
2022-09-19,0.5525516834188459,0.18097854553851372
2022-09-20,0.5523339882084842,0.18104987586288815
2022-09-21,0.5513664905000581,0.18136756898175962
2022-09-22,0.554452795647215,0.18035800483839134
2022-09-23,0.5404477593026109,0.1850317598301067
2022-09-26,0.5383810413341238,0.18574205316033626
2022-09-27,0.545457168816833,0.18333245159636075
2022-09-28,0.5205382351346683,0.19210884667123257
2022-09-29,0.5134901380986745,0.19474570703592278
2022-09-30,0.5134904640856419,0.19474558340254128
2022-10-03,0.5,0.20508024214045456
2022-10-04,0.5,0.21517040193752277
2022-10-05,0.5,0.21217319754314212
2022-10-06,0.5,0.2103242413876113
2022-10-07,0.5,0.21537404207460747
2022-10-10,0.5,0.2127400652591944
2022-10-11,0.5,0.20981505231763137
2022-10-12,0.5,0.20666392000596023
2022-10-13,0.5,0.21130269122143205
2022-10-14,0.5,0.21598820681576633
2022-10-17,0.5,0.21908147532925393
2022-10-18,0.5,0.21806198112193986
2022-10-19,0.5,0.2155298751908377
2022-10-20,0.5,0.21415532889365224
2022-10-21,0.5,0.21789512106584358
2022-10-24,0.5,0.21536405094611757
2022-10-25,0.5,0.21679370652553767
2022-10-26,0.5,0.21338124817859724
2022-10-27,0.5,0.21012627794392144
2022-10-28,0.5,0.21099275309400212
2022-10-31,0.5,0.20846149589342347
2022-11-01,0.5,0.20519321924130202
2022-11-02,0.5,0.2092549722702025
2022-11-03,0.5,0.20624301089900748
2022-11-04,0.5,0.20604228431432098
2022-11-07,0.5,0.20325333879354515
2022-11-08,0.5,0.2011695236754623
2022-11-09,0.5,0.20313407243195994
2022-11-10,0.5,0.23758553459093887
2022-11-11,0.5,0.2348306406930038
2022-11-14,0.5,0.2316984051680865
2022-11-15,0.5,0.22917001592539818
2022-11-16,0.5,0.22580893993940293
2022-11-17,0.5,0.22284664082493313
2022-11-18,0.5,0.21958031136848832
2022-11-21,0.5,0.2161897109969498
