Date,EqualWeight,RiskParity_erc,RiskParity_erc_VT
2018-09-25,-0.0021096815372810473,-0.002134801781682107,-0.004190238483999135
2018-09-26,-0.0029528664603700842,-0.0029460970891348054,-0.0058128290989045315
2018-09-27,0.001006557431827202,0.0010130402405530712,0.0021054455604712216
2018-09-28,8.346490393875103e-05,0.00011232533154714093,0.0003040157424593612
2018-09-30,-7.936507936507937e-05,-9.262080823456679e-05,-9.262080823456679e-05
2018-10-01,0.0020909193989443998,0.002050472715873727,0.004180310511112533
2018-10-02,0.002352094486689556,0.0023886302284612786,0.0048566255362876365
2018-10-03,-0.002354887112367367,-0.002413808558806011,-0.004748252038246943
2018-10-04,-0.00562961147175097,-0.0055914787700491195,-0.01110359246073316
2018-10-05,-0.0034018044326333745,-0.0033620628825748863,-0.006644760685784693
