Date,ret_base,ret_vt
2018-11-30,0.011687471996630604,0.004925007543115435
2018-12-03,0.019327735600329455,0.0080267156243481
2018-12-04,-0.04171350334371144,-0.016425049686107817
2018-12-06,-0.005123339163384136,-0.0020208188059008185
2018-12-07,-0.03216972595865589,-0.012326677698510792
2018-12-10,0.0008564074884806365,0.00032823035137164965
2018-12-11,0.0015891433950631154,0.0006108222192302441
2018-12-12,0.01019618082688612,0.003903214997802804
2018-12-13,0.00019678703755573784,7.541216355192155e-05
2018-12-14,-0.03261074382027932,-0.01216357949032141
2018-12-17,-0.02831980012840391,-0.010376887757570279
2018-12-18,-0.005614592969446915,-0.0020638822736564677
2018-12-19,-0.021550796126370852,-0.007850321642825998
2018-12-20,-0.027462525964339467,-0.00987590397114971
2018-12-21,-0.02513696222702417,-0.008936755011142
